transformed_feature_name,coefficient,absolute_coefficient
numeric__amount_to_normal_ratio,2.901270918743046,2.901270918743046
categorical__asset_BTC,-2.638832738184138,2.638832738184138
categorical__customer_risk_tier_MEDIUM,-2.5492418779219737,2.5492418779219737
numeric__device_failed_auth_count_10m,2.53061023706025,2.53061023706025
categorical__transaction_type_TRANSFER,-2.525472607705038,2.525472607705038
categorical__country_BR,2.4683538530120233,2.4683538530120233
numeric__prior_source_wallet_tx_count,2.428131656130414,2.428131656130414
numeric__prior_tx_amount_sum_24h,-1.8047773939822158,1.8047773939822158
categorical__country_NL,-1.266477990602636,1.266477990602636
categorical__transaction_type_DEPOSIT,-1.234545063195985,1.234545063195985
categorical__customer_risk_tier_LOW,-1.2062126581112373,1.2062126581112373
categorical__asset_ETH,-1.1521993275602307,1.1521993275602307
numeric__successful_auth_count_1h,-1.1022023251028785,1.1022023251028785
categorical__country_JP,-1.0799671150835377,1.0799671150835377
numeric__crypto_quantity,-1.019285194186093,1.019285194186093
numeric__prior_tx_count_5m,1.012977085687035,1.012977085687035
categorical__country_SG,-1.0092433398305054,1.0092433398305054
numeric__transaction_day_of_week_utc,-0.9868719288776033,0.9868719288776033
numeric__market_data_freshness_seconds,-0.9454682883484488,0.9454682883484488
numeric__has_previous_successful_auth,0.9367842514238274,0.9367842514238274
numeric__is_new_destination_wallet,-0.8970783973445848,0.8970783973445848
numeric__destination_wallet_age_hours,-0.8957571707759351,0.8957571707759351
numeric__prior_destination_wallet_tx_count,-0.845718309266044,0.845718309266044
numeric__device_distinct_account_count_1h,0.7327620752135373,0.7327620752135373
numeric__market_volume_sum_1h,-0.7248744566011273,0.7248744566011273
numeric__recent_auth_failure_flag_10m,-0.7166244759724151,0.7166244759724151
numeric__normal_transaction_amount_usd,-0.715233433710372,0.715233433710372
categorical__country_US,-0.6659571199274693,0.6659571199274693
numeric__device_successful_auth_count_1h,-0.6389183960510336,0.6389183960510336
categorical__country_AU,-0.6020726235188995,0.6020726235188995
numeric__market_return_1h,-0.5785842986382173,0.5785842986382173
numeric__transaction_amount_usd,-0.5461434628434644,0.5461434628434644
numeric__transaction_country_mismatch_home_country,-0.4666081810755264,0.4666081810755264
numeric__is_night_transaction_utc,0.446937641970039,0.446937641970039
categorical__country_CA,-0.4277151704927426,0.4277151704927426
numeric__prior_tx_amount_avg_24h,-0.39093764862569025,0.39093764862569025
categorical__country_DE,-0.38699431603710754,0.38699431603710754
numeric__prior_tx_count_24h,-0.36136222560540915,0.36136222560540915
numeric__account_age_days,-0.3555436544700576,0.3555436544700576
numeric__prior_tx_amount_max_24h,0.2835241345400765,0.2835241345400765
numeric__has_previous_transaction,-0.2809088854439013,0.2809088854439013
numeric__has_prior_tx_24h,-0.2769592903674438,0.2769592903674438
categorical__country_AE,-0.2580438328102988,0.2580438328102988
categorical__country_FR,-0.23932373626888637,0.23932373626888637
numeric__failed_auth_count_1h,-0.22596327524839321,0.22596327524839321
numeric__prior_tx_amount_sum_1h,-0.19663594926767902,0.19663594926767902
categorical__country_IN,-0.188060898591184,0.188060898591184
numeric__seconds_since_previous_tx,-0.1748245085323856,0.1748245085323856
numeric__source_wallet_applicable,-0.16738744839124858,0.16738744839124858
numeric__market_volatility_1h,-0.15396259398236825,0.15396259398236825
categorical__country_GB,-0.13552977559311385,0.13552977559311385
numeric__latest_market_close_usd,-0.1346887168735787,0.1346887168735787
numeric__market_price_usd,-0.1346887168735787,0.1346887168735787
numeric__transaction_hour_utc,0.10706759455641969,0.10706759455641969
numeric__seconds_since_last_successful_auth,0.05263716013889712,0.05263716013889712
numeric__amount_above_normal_usd,-0.04507484721294697,0.04507484721294697
numeric__device_age_days,0.045034413410873345,0.045034413410873345
numeric__device_age_hours,0.04503441341087322,0.04503441341087322
numeric__prior_tx_count_1h,0.04009042271973045,0.04009042271973045
categorical__customer_risk_tier_HIGH,-0.035577529711114365,0.035577529711114365
numeric__failed_auth_count_10m,-0.034075099926457415,0.034075099926457415
categorical__transaction_type_WITHDRAWAL,-0.031014394843298872,0.031014394843298872
numeric__market_return_5m,0.018859017980742392,0.018859017980742392
numeric__destination_wallet_applicable,0.0,0.0
numeric__account_profile_available,0.0,0.0
numeric__normal_transaction_amount_available,0.0,0.0
numeric__market_data_available,0.0,0.0
numeric__device_profile_available,0.0,0.0
numeric__destination_wallet_first_seen_available,0.0,0.0
numeric__is_new_device_24h,0.0,0.0
numeric__is_weekend_utc,0.0,0.0
